Year;Week;Week Ending;typecode;Commodity;CSX
2022;17;30.04.2022;09;Primary Forest Products;677
2022;17;30.04.2022;10;Lumber & Wood Products;1249
2022;17;30.04.2022;11;Pulp & Paper Products;3386
2022;17;30.04.2022;12;Chemicals;11057
2022;17;30.04.2022;13;Petroleum & Petroleum Products;2161
2022;17;30.04.2022;14;Stone, Clay & Glass Products;2761
2022;17;30.04.2022;15;Coke;948
2022;17;30.04.2022;16;Primary Metal Products;2891
2022;17;30.04.2022;17;Automotive;6800
2022;17;30.04.2022;18;Iron & Steel Scrap;1584
2022;17;30.04.2022;19;Waste & Nonferrous Scrap;2791
2022;17;30.04.2022;20;All Other Carloads;958
2022;17;30.04.2022;C;Containers;57559
2022;17;30.04.2022;T;Trailers;1765
2022;16;23.04.2022;01;Grain;2680
2022;16;23.04.2022;02;Farm Products (ex. Grain);162
2022;16;23.04.2022;03;Metallic ores;695
2022;16;23.04.2022;04;Coal;11771
2022;16;23.04.2022;05;Crushed Stone, Sand & Gravel;5715
2022;16;23.04.2022;06;Phosphate Rock;2350
2022;16;23.04.2022;07;Grain Mill Products;2283
2022;16;23.04.2022;08;Food Products;2471
2022;16;23.04.2022;09;Primary Forest Products;519
2022;16;23.04.2022;10;Lumber & Wood Products;1201
2022;16;23.04.2022;11;Pulp & Paper Products;3117
2022;16;23.04.2022;12;Chemicals;10653
2022;16;23.04.2022;13;Petroleum & Petroleum Products;2193
2022;16;23.04.2022;14;Stone, Clay & Glass Products;2730
2022;16;23.04.2022;15;Coke;1077
2022;16;23.04.2022;16;Primary Metal Products;2810
2022;16;23.04.2022;17;Automotive;6339
2022;16;23.04.2022;18;Iron & Steel Scrap;1530
2022;16;23.04.2022;19;Waste & Nonferrous Scrap;2705
2022;16;23.04.2022;20;All Other Carloads;1013
2022;16;23.04.2022;C;Containers;56049
2022;16;23.04.2022;T;Trailers;1604
2022;15;16.04.2022;01;Grain;2653
2022;15;16.04.2022;02;Farm Products (ex. Grain);116
2022;15;16.04.2022;03;Metallic ores;801
2022;15;16.04.2022;04;Coal;12540
2022;15;16.04.2022;05;Crushed Stone, Sand & Gravel;5334
2022;15;16.04.2022;06;Phosphate Rock;2255
2022;15;16.04.2022;07;Grain Mill Products;2282
2022;15;16.04.2022;08;Food Products;2445
2022;15;16.04.2022;09;Primary Forest Products;631
2022;15;16.04.2022;10;Lumber & Wood Products;1161
2022;15;16.04.2022;11;Pulp & Paper Products;3086
2022;15;16.04.2022;12;Chemicals;10796
2022;15;16.04.2022;13;Petroleum & Petroleum Products;2063
2022;15;16.04.2022;14;Stone, Clay & Glass Products;2603
2022;15;16.04.2022;15;Coke;1262
2022;15;16.04.2022;16;Primary Metal Products;2881
2022;15;16.04.2022;17;Automotive;6729
2022;15;16.04.2022;18;Iron & Steel Scrap;1404
2022;15;16.04.2022;19;Waste & Nonferrous Scrap;2600
2022;15;16.04.2022;20;All Other Carloads;1037
2022;15;16.04.2022;C;Containers;54973
2022;15;16.04.2022;T;Trailers;1647
2022;14;9.04.2022;01;Grain;2957
2022;14;9.04.2022;02;Farm Products (ex. Grain);139
2022;14;9.04.2022;03;Metallic ores;707
2022;14;9.04.2022;04;Coal;13409
2022;14;9.04.2022;05;Crushed Stone, Sand & Gravel;5101
2022;14;9.04.2022;06;Phosphate Rock;2357
2022;14;9.04.2022;07;Grain Mill Products;2190
2022;14;9.04.2022;08;Food Products;2363
2022;14;9.04.2022;09;Primary Forest Products;563
2022;14;9.04.2022;10;Lumber & Wood Products;1121
2022;14;9.04.2022;11;Pulp & Paper Products;3077
2022;14;9.04.2022;12;Chemicals;10604
2022;14;9.04.2022;13;Petroleum & Petroleum Products;2091
2022;14;9.04.2022;14;Stone, Clay & Glass Products;2516
2022;14;9.04.2022;15;Coke;917
2022;14;9.04.2022;16;Primary Metal Products;2730
2022;14;9.04.2022;17;Automotive;6858
2022;14;9.04.2022;18;Iron & Steel Scrap;1416
2022;14;9.04.2022;19;Waste & Nonferrous Scrap;2733
2022;14;9.04.2022;20;All Other Carloads;786
2022;14;9.04.2022;C;Containers;58255
2022;14;9.04.2022;T;Trailers;1744
2022;13;2.04.2022;01;Grain;3299
2022;13;2.04.2022;02;Farm Products (ex. Grain);172
2022;13;2.04.2022;03;Metallic ores;542
2022;13;2.04.2022;04;Coal;13085
2022;13;2.04.2022;05;Crushed Stone, Sand & Gravel;5013
2022;13;2.04.2022;06;Phosphate Rock;2613
2022;13;2.04.2022;07;Grain Mill Products;2501
2022;13;2.04.2022;08;Food Products;2261
2022;13;2.04.2022;09;Primary Forest Products;587
2022;13;2.04.2022;10;Lumber & Wood Products;1240
2022;13;2.04.2022;11;Pulp & Paper Products;3082
2022;13;2.04.2022;12;Chemicals;10943
2022;13;2.04.2022;13;Petroleum & Petroleum Products;2023
2022;13;2.04.2022;14;Stone, Clay & Glass Products;2530
2022;13;2.04.2022;15;Coke;1145
2022;13;2.04.2022;16;Primary Metal Products;2619
2022;13;2.04.2022;17;Automotive;7093
2022;13;2.04.2022;18;Iron & Steel Scrap;1528
2022;13;2.04.2022;19;Waste & Nonferrous Scrap;2627
2022;13;2.04.2022;20;All Other Carloads;892
2022;13;2.04.2022;C;Containers;58908
2022;13;2.04.2022;T;Trailers;1760
2022;12;26.03.2022;01;Grain;2626
2022;12;26.03.2022;02;Farm Products (ex. Grain);148
2022;12;26.03.2022;03;Metallic ores;183
2022;12;26.03.2022;04;Coal;11840
2022;12;26.03.2022;05;Crushed Stone, Sand & Gravel;4820
2022;12;26.03.2022;06;Phosphate Rock;2732
2022;12;26.03.2022;07;Grain Mill Products;2339
2022;12;26.03.2022;08;Food Products;2521
2022;12;26.03.2022;09;Primary Forest Products;509
2022;12;26.03.2022;10;Lumber & Wood Products;1252
2022;12;26.03.2022;11;Pulp & Paper Products;2826
2022;12;26.03.2022;12;Chemicals;10923
2022;12;26.03.2022;13;Petroleum & Petroleum Products;2052
2022;12;26.03.2022;14;Stone, Clay & Glass Products;2466
2022;12;26.03.2022;15;Coke;1031
2022;12;26.03.2022;16;Primary Metal Products;2608
2022;12;26.03.2022;17;Automotive;7032
2022;12;26.03.2022;18;Iron & Steel Scrap;1493
2022;12;26.03.2022;19;Waste & Nonferrous Scrap;2748
2022;12;26.03.2022;20;All Other Carloads;1151
2022;12;26.03.2022;C;Containers;57211
2022;12;26.03.2022;T;Trailers;1706
2022;11;19.03.2022;01;Grain;2810
2022;11;19.03.2022;02;Farm Products (ex. Grain);178
2022;11;19.03.2022;03;Metallic ores;194
2022;11;19.03.2022;04;Coal;11611
2022;11;19.03.2022;05;Crushed Stone, Sand & Gravel;4605
2022;11;19.03.2022;06;Phosphate Rock;2622
2022;11;19.03.2022;07;Grain Mill Products;2098
2022;11;19.03.2022;08;Food Products;2400
2022;11;19.03.2022;09;Primary Forest Products;603
2022;11;19.03.2022;10;Lumber & Wood Products;1145
2022;11;19.03.2022;11;Pulp & Paper Products;3070
2022;11;19.03.2022;12;Chemicals;10748
2022;11;19.03.2022;13;Petroleum & Petroleum Products;2267
2022;11;19.03.2022;14;Stone, Clay & Glass Products;2459
2022;11;19.03.2022;15;Coke;1362
2022;11;19.03.2022;16;Primary Metal Products;2762
2022;11;19.03.2022;17;Automotive;6842
2022;11;19.03.2022;18;Iron & Steel Scrap;1509
2022;11;19.03.2022;19;Waste & Nonferrous Scrap;2576
2022;11;19.03.2022;20;All Other Carloads;1108
2022;11;19.03.2022;C;Containers;56074
2022;11;19.03.2022;T;Trailers;1764
2022;10;12.03.2022;01;Grain;3323
2022;10;12.03.2022;02;Farm Products (ex. Grain);167
2022;10;12.03.2022;03;Metallic ores;208
2022;10;12.03.2022;04;Coal;12504
2022;10;12.03.2022;05;Crushed Stone, Sand & Gravel;4632
2022;10;12.03.2022;06;Phosphate Rock;3106
2022;10;12.03.2022;07;Grain Mill Products;2216
2022;10;12.03.2022;08;Food Products;2480
2022;10;12.03.2022;09;Primary Forest Products;570
2022;10;12.03.2022;10;Lumber & Wood Products;1227
2022;10;12.03.2022;11;Pulp & Paper Products;2761
2022;10;12.03.2022;12;Chemicals;11694
2022;10;12.03.2022;13;Petroleum & Petroleum Products;2308
2022;10;12.03.2022;14;Stone, Clay & Glass Products;2353
2022;10;12.03.2022;15;Coke;1375
2022;10;12.03.2022;16;Primary Metal Products;2501
2022;10;12.03.2022;17;Automotive;6958
2022;10;12.03.2022;18;Iron & Steel Scrap;1452
2022;10;12.03.2022;19;Waste & Nonferrous Scrap;2623
2022;10;12.03.2022;20;All Other Carloads;1250
2022;10;12.03.2022;C;Containers;56580
2022;10;12.03.2022;T;Trailers;1882
2022;9;5.03.2022;01;Grain;2884
2022;9;5.03.2022;02;Farm Products (ex. Grain);153
2022;9;5.03.2022;03;Metallic ores;600
2022;9;5.03.2022;04;Coal;11104
2022;9;5.03.2022;05;Crushed Stone, Sand & Gravel;4804
2022;9;5.03.2022;06;Phosphate Rock;2524
2022;9;5.03.2022;07;Grain Mill Products;2394
2022;9;5.03.2022;08;Food Products;2221
2022;9;5.03.2022;09;Primary Forest Products;666
2022;9;5.03.2022;10;Lumber & Wood Products;1113
2022;9;5.03.2022;11;Pulp & Paper Products;2950
2022;9;5.03.2022;12;Chemicals;10377
2022;9;5.03.2022;13;Petroleum & Petroleum Products;2325
2022;9;5.03.2022;14;Stone, Clay & Glass Products;2354
2022;9;5.03.2022;15;Coke;1259
2022;9;5.03.2022;16;Primary Metal Products;2865
2022;9;5.03.2022;17;Automotive;6928
2022;9;5.03.2022;18;Iron & Steel Scrap;1313
2022;9;5.03.2022;19;Waste & Nonferrous Scrap;2683
2022;9;5.03.2022;20;All Other Carloads;1045
2022;9;5.03.2022;C;Containers;56539
2022;9;5.03.2022;T;Trailers;1823
2022;8;26.02.2022;01;Grain;2971
2022;8;26.02.2022;02;Farm Products (ex. Grain);142
2022;8;26.02.2022;03;Metallic ores;514
2022;8;26.02.2022;04;Coal;12154
2022;8;26.02.2022;05;Crushed Stone, Sand & Gravel;4656
2022;8;26.02.2022;06;Phosphate Rock;2528
2022;8;26.02.2022;07;Grain Mill Products;2147
2022;8;26.02.2022;08;Food Products;2241
2022;8;26.02.2022;09;Primary Forest Products;646
2022;8;26.02.2022;10;Lumber & Wood Products;1089
2022;8;26.02.2022;11;Pulp & Paper Products;3093
2022;8;26.02.2022;12;Chemicals;9897
2022;8;26.02.2022;13;Petroleum & Petroleum Products;2534
2022;8;26.02.2022;14;Stone, Clay & Glass Products;2407
2022;8;26.02.2022;15;Coke;1306
2022;8;26.02.2022;16;Primary Metal Products;3044
2022;8;26.02.2022;17;Automotive;6703
2022;8;26.02.2022;18;Iron & Steel Scrap;1323
2022;8;26.02.2022;19;Waste & Nonferrous Scrap;2306
2022;8;26.02.2022;20;All Other Carloads;703
2022;8;26.02.2022;C;Containers;54708
2022;8;26.02.2022;T;Trailers;1766
2022;7;19.02.2022;01;Grain;2947
2022;7;19.02.2022;02;Farm Products (ex. Grain);160
2022;7;19.02.2022;03;Metallic ores;463
2022;7;19.02.2022;04;Coal;11321
2022;7;19.02.2022;05;Crushed Stone, Sand & Gravel;3291
2022;7;19.02.2022;06;Phosphate Rock;2626
2022;7;19.02.2022;07;Grain Mill Products;2246
2022;7;19.02.2022;08;Food Products;1856
2022;7;19.02.2022;09;Primary Forest Products;715
2022;7;19.02.2022;10;Lumber & Wood Products;1239
2022;7;19.02.2022;11;Pulp & Paper Products;3043
2022;7;19.02.2022;12;Chemicals;10968
2022;7;19.02.2022;13;Petroleum & Petroleum Products;2346
2022;7;19.02.2022;14;Stone, Clay & Glass Products;2376
2022;7;19.02.2022;15;Coke;1088
2022;7;19.02.2022;16;Primary Metal Products;3089
2022;7;19.02.2022;17;Automotive;6317
2022;7;19.02.2022;18;Iron & Steel Scrap;1262
2022;7;19.02.2022;19;Waste & Nonferrous Scrap;2533
2022;7;19.02.2022;20;All Other Carloads;896
2022;7;19.02.2022;C;Containers;53844
2022;7;19.02.2022;T;Trailers;1842
2022;6;12.02.2022;01;Grain;3598
2022;6;12.02.2022;02;Farm Products (ex. Grain);184
2022;6;12.02.2022;03;Metallic ores;479
2022;6;12.02.2022;04;Coal;10776
2022;6;12.02.2022;05;Crushed Stone, Sand & Gravel;4210
2022;6;12.02.2022;06;Phosphate Rock;2446
2022;6;12.02.2022;07;Grain Mill Products;2429
2022;6;12.02.2022;08;Food Products;2484
2022;6;12.02.2022;09;Primary Forest Products;598
